,Product_Url,Product_Name,Price,Rating,Review
389,/sspa/click?ie=UTF8&spc=MTo3NTMzMDA5Nzg3NzU5ODUwOjE2NzU0NDU3MDE6c3BfYnRmOjIwMDQzMzIxMTM2NjA2OjowOjo&url=%2FCOSMUS-Multipurpose-Backpack-Bag-compartment%2Fdp%2FB078JVT384%2Fref%3Dsr_1_277_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675445701%26sprefix%3Dba%252Caps%252C283%26sr%3D8-277-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"COSMUS Madison waterproof Multipurpose Backpack With laptop compartment , 33L","1,196","2,166","2,166"
390,/sspa/click?ie=UTF8&spc=MTo3NTMzMDA5Nzg3NzU5ODUwOjE2NzU0NDU3MDE6c3BfYnRmOjIwMDk3ODIzMzMwMDk4OjowOjo&url=%2FEUME-Laptop-Backpack-Resistance-Charging%2Fdp%2FB07G13F54G%2Fref%3Dsr_1_278_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675445701%26sprefix%3Dba%252Caps%252C283%26sr%3D8-278-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,EUME Iris 23 LTR Laptop Backpack for 14 inch Laptop - Blue Series,"2,038",137,137
391,,,,,
392,/sspa/click?ie=UTF8&spc=MToyNDcyNzY0NjMxODUxODU6MTY3NTQ0NTcwMzpzcF9hdGZfbmV4dDoyMDEwNDE0MDI2MzY5ODo6MDo6&url=%2FUrban-Tribe-Laptop-Backpack-Havana%2Fdp%2FB01LXNNFDF%2Fref%3Dsr_1_273_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675445703%26sprefix%3Dba%252Caps%252C283%26sr%3D8-273-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1%26smid%3DA385M0TPSNV7VS,"URBAN TRIBE Havana 15.6"" inch Laptop Backpack for Men and Women | 27L Office/Work/Casual Bag | Water Repellent | Black","1,169",684,684
393,/sspa/click?ie=UTF8&spc=MToyNDcyNzY0NjMxODUxODU6MTY3NTQ0NTcwMzpzcF9hdGZfbmV4dDoyMDExNTEwNDkwODE5ODo6MDo6&url=%2FMOKOBARA-TSBPK12CND22001-Backpack-Happy-Green%2Fdp%2FB08SW9W2FY%2Fref%3Dsr_1_274_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675445703%26sprefix%3Dba%252Caps%252C283%26sr%3D8-274-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,"MOKOBARA Backpack 15.5"" Inch Laptop Backpack For Women (16 litres ) Improved (2022 - Model)","4,890",147,147
394,/Lavie-Betula-Womens-Tote-Black/dp/B08HWFWGNX/ref=sr_1_275?crid=2M096C61O4MLT&keywords=bags&qid=1675445703&sprefix=ba%2Caps%2C283&sr=8-275,Lavie Women's Betula Medium Tote Bag | Ladies Purse Handbag,992,"18,219","18,219"
395,/Kuber-Industries-Handcrafted-Embroidered-Handbag/dp/B082VFZP9C/ref=sr_1_276?crid=2M096C61O4MLT&keywords=bags&qid=1675445703&sprefix=ba%2Caps%2C283&sr=8-276,"Kuber Industries Women's Handcrafted Embroidered Clutch Bag (Grey, CTKTC034517)",345,255,255
396,/Gear-Vintage2-Leather-Backpack-LBPVG2LTH0501/dp/B07G4HH78P/ref=sr_1_277?crid=2M096C61O4MLT&keywords=bags&qid=1675445703&sprefix=ba%2Caps%2C283&sr=8-277,Gear Vintage2 28L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Navy,999,"3,058","3,058"
397,/Half-Moon-Travelling-Compartment-Polyester/dp/B09CGZ2W28/ref=sr_1_278?crid=2M096C61O4MLT&keywords=bags&qid=1675445703&sprefix=ba%2Caps%2C283&sr=8-278,Half Moon 55 litres Travelling Laptop Bag/Rucksack Backpack for Luggage Travel Journey Trekking Hiking Bags for Men Women Boys and Girls with Laptop Compartment & Rain Cover (Polyester Navy),979,903,903
398,/NETTIE-Cotton-Carry-Strap-Drawstring/dp/B08LBT1R9J/ref=sr_1_279?crid=2M096C61O4MLT&keywords=bags&qid=1675445703&sprefix=ba%2Caps%2C283&sr=8-279,NETTIE Cotton Carry Bag with Strap and Drawstring for Yoga Mat- Big Size,198,979,979
399,/Van-Heusen-Woman-Spring-Summer-Burgundy/dp/B07MHFJ167/ref=sr_1_280?crid=2M096C61O4MLT&keywords=bags&qid=1675445703&sprefix=ba%2Caps%2C283&sr=8-280,Van Heusen womens Sling - textured single color belt,"1,362",209,209
400,/AirCase-C26-Messenger-Laptop-Shoulder/dp/B07P417566/ref=sr_1_281?crid=2M096C61O4MLT&keywords=bags&qid=1675445703&sprefix=ba%2Caps%2C283&sr=8-281,"AirCase Laptop Messenger Bag Case Cover Pouch for 13.3-Inch, 14-Inch Laptop Bag for Men & Women (Blue)",949,"2,565","2,565"
401,/Lino-Perros-Womens-Sling-Gold/dp/B07MV38P1L/ref=sr_1_282?crid=2M096C61O4MLT&keywords=bags&qid=1675445703&sprefix=ba%2Caps%2C283&sr=8-282,Lino Perros Faux Leather Sling Bag,889,193,193
402,/sspa/click?ie=UTF8&spc=MToyNDcyNzY0NjMxODUxODU6MTY3NTQ0NTcwMzpzcF9tdGY6MjAwNTYxMDY3NDY0MDY6OjA6Og&url=%2FCosmus-Casual-Navy-Laptop-Backpack%2Fdp%2FB08R7M639Z%2Fref%3Dsr_1_283_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675445703%26sprefix%3Dba%252Caps%252C283%26sr%3D8-283-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Cosmus ACE Casual Navy 45 cm 22 Ltr Laptop Backpack Bag,718,120,120
403,/sspa/click?ie=UTF8&spc=MToyNDcyNzY0NjMxODUxODU6MTY3NTQ0NTcwMzpzcF9tdGY6MjAwOTI1NDE5NTI1OTg6OjA6Og&url=%2FAfco-Bags-Lightweight-Fashionable-Backpacks%2Fdp%2FB0BLP4XZKK%2Fref%3Dsr_1_284_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675445703%26sprefix%3Dba%252Caps%252C283%26sr%3D8-284-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1,Afco Bags 40Liters Lightweight Fashionable Printed Casual College bags Best Laptop Backpacks Stylish School/College/Office/Travel Backpack For Men & Women,549,3,3
404,/Nivia-783-Polyester-Carrying-Balls/dp/B072KWMD1F/ref=sr_1_285?crid=2M096C61O4MLT&keywords=bags&qid=1675445703&sprefix=ba%2Caps%2C283&sr=8-285,"NIVIA ‘Ball Carrying Bag’ for 9 Balls, Polyester, Black",566,66,66
405,/Arctic-Fox-Shutter-Topography-Camera/dp/B0835GMWBC/ref=sr_1_286?crid=2M096C61O4MLT&keywords=bags&qid=1675445703&sprefix=ba%2Caps%2C283&sr=8-286,Arctic Fox Sling Shutter Topography Camera Bag,"1,199",283,283
406,/Lavie-Beech-Womens-Handbag-Lt-Gold/dp/B078XXYNM8/ref=sr_1_287?crid=2M096C61O4MLT&keywords=bags&qid=1675445703&sprefix=ba%2Caps%2C283&sr=8-287,Lavie Women's Beech Satchel Bag | Ladies Purse Handbag,"1,547","3,623","3,623"
407,/Leatherette-Executive-messenger-multiple-compartments/dp/B099NM8621/ref=sr_1_288?crid=2M096C61O4MLT&keywords=bags&qid=1675445703&sprefix=ba%2Caps%2C283&sr=8-288,"Zipline Synthetic Leather Executive SMALL messenger bag Briefcase for upto 13"" Laptop/Tablet for men women with multiple compartments (1-Tan Bag)",938,337,337
408,/HEROZ-Backpack-Resistant-Durable-Notebook/dp/B08BYQZYYC/ref=sr_1_289?crid=2M096C61O4MLT&keywords=bags&qid=1675445703&sprefix=ba%2Caps%2C283&sr=8-289,HEROZ Hammer Unisex Nylon 45 L Travel Laptop Backpack Water Resistant Slim Durable Fits Up to 17.3 Inch Laptop Notebook (All) (Navy Blue & Sky Blue),"1,424","7,644","7,644"
409,/Genie-Flamenco2-Backpack-Compatible-Resistant/dp/B08YF9VHTY/ref=sr_1_290?crid=2M096C61O4MLT&keywords=bags&qid=1675445703&sprefix=ba%2Caps%2C283&sr=8-290,Genie Flamenco2 Casual Backpacks for Women,699,"1,325","1,325"
410,/AmazonBasics-SM1603111P-Camera-Sling-Bag/dp/B01FRDSAYW/ref=sr_1_291?crid=2M096C61O4MLT&keywords=bags&qid=1675445703&sprefix=ba%2Caps%2C283&sr=8-291,"Amazon Basics Camera Sling Bag, for DSLR Camera with Lens, Accessories, Adjustable Padded Strap, Black","1,579","2,859","2,859"
411,/Tabelito%C2%AE-Basic-Laptop-Sleeve-Surfacepro/dp/B09NDTCZ4N/ref=sr_1_292?crid=2M096C61O4MLT&keywords=bags&qid=1675445703&sprefix=ba%2Caps%2C283&sr=8-292,Tabelito® Basic Laptop Bag Sleeve Case Cover Pouch for 15.6 Inch(39.6cm) Laptop Apple / Dell / Lenovo / Asus / Hp / Samsung / Mi / MacBook / Ultrabook / Thinkpad / Ideapad / Surfacepro (Blue),449,"1,822","1,822"
412,/sspa/click?ie=UTF8&spc=MToyNDcyNzY0NjMxODUxODU6MTY3NTQ0NTcwMzpzcF9idGY6MjAwNDMzMjExMzY2MDY6OjA6Og&url=%2FCOSMUS-Multipurpose-Backpack-Bag-compartment%2Fdp%2FB078JVT384%2Fref%3Dsr_1_293_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1675445703%26sprefix%3Dba%252Caps%252C283%26sr%3D8-293-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1,"COSMUS Madison waterproof Multipurpose Backpack With laptop compartment , 33L","1,196","2,166","2,166"
